year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,brand
2018,850000,9500,Diesel,Individual,Manual,First Owner,25.903614457831328,1497.0,108.5,260.0,5.0,Tata
2018,750000,30000,Diesel,Individual,Manual,First Owner,25.530120481927714,1396.0,88.76,219.66,5.0,Hyundai
2015,1500000,80000,Diesel,Individual,Automatic,Second Owner,15.120481927710845,2982.0,168.5,360.0,7.0,Toyota
2015,795000,35000,Petrol,Individual,Manual,First Owner,22.986486486486488,1591.0,121.3,154.9,5.0,Hyundai
2019,3800000,20000,Diesel,Individual,Automatic,First Owner,21.686746987951807,1969.0,190.0,400.0,5.0,Volvo
2015,500000,96500,Diesel,Individual,Manual,First Owner,24.698795180722893,1248.0,91.72,209.0,5.0,Fiat
2013,325000,70000,Petrol,Individual,Manual,First Owner,27.513513513513512,1197.0,78.9,111.7,5.0,Hyundai
2017,270000,50000,Petrol,Individual,Manual,First Owner,28.513513513513516,814.0,55.2,74.5,5.0,Hyundai
2011,174000,100000,Diesel,Individual,Manual,Second Owner,25.30120481927711,1461.0,64.1,160.0,5.0,Mahindra
2012,270000,56000,Petrol,Individual,Manual,First Owner,27.513513513513512,1197.0,78.9,111.7,5.0,Hyundai
2007,750000,60000,Diesel,Individual,Automatic,Second Owner,17.457831325301207,2993.0,258.0,560.0,5.0,BMW
2016,560000,35000,Petrol,Individual,Manual,First Owner,21.89189189189189,1199.0,74.0,110.0,5.0,Volkswagen
2013,550000,100000,Diesel,Individual,Manual,First Owner,28.19277108433735,1248.0,74.0,190.0,5.0,Maruti
2020,580000,70000,Petrol,Individual,Manual,First Owner,31.432432432432435,1197.0,88.5,113.0,5.0,Maruti
2005,85000,100000,Petrol,Individual,Manual,First Owner,,,,,,Maruti
2018,900000,19000,Diesel,Individual,Manual,First Owner,27.710843373493976,1498.0,98.96,205.0,5.0,Ford
2013,300000,40000,Petrol,Individual,Manual,First Owner,27.513513513513512,1197.0,78.9,111.8,5.0,Hyundai
2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,23.289156626506024,1999.0,177.0,430.0,5.0,Jaguar
2015,270000,43000,Petrol,Individual,Manual,First Owner,28.513513513513516,814.0,55.2,74.5,5.0,Hyundai
2018,6000000,28156,Diesel,Dealer,Automatic,First Owner,20.590361445783135,2993.0,261.4,620.0,4.0,BMW
2010,229999,140000,Diesel,Individual,Manual,First Owner,22.16867469879518,1248.0,75.0,190.0,5.0,Tata
2017,650000,120000,Diesel,Individual,Manual,First Owner,19.87951807228916,1493.0,70.0,195.0,7.0,Mahindra
2015,450000,57000,Diesel,Individual,Manual,First Owner,27.710843373493976,1248.0,88.7,200.0,5.0,Tata
2010,148000,70000,Petrol,Individual,Manual,Third Owner,19.864864864864863,1150.0,76.0,109.80392156862744,5.0,Chevrolet
2011,180000,120000,Diesel,Individual,Manual,Second Owner,22.16867469879518,1248.0,75.0,190.0,5.0,Tata
2013,453000,54327,Petrol,Dealer,Automatic,Second Owner,23.243243243243242,1197.0,103.6,175.0,5.0,Volkswagen
2018,889000,20000,Diesel,Individual,Manual,First Owner,33.8433734939759,1248.0,88.5,200.0,5.0,Maruti
2019,620000,100000,Petrol,Individual,Manual,First Owner,23.743243243243246,1193.0,88.7,140.0,5.0,Tata
2014,3500000,60000,Diesel,Individual,Automatic,First Owner,13.253012048192772,2982.0,170.3,410.0,7.0,Toyota
2016,700000,20000,Petrol,Individual,Manual,First Owner,28.013513513513516,1373.0,91.1,130.0,5.0,Maruti
2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,24.594594594594593,1199.0,88.7,110.0,5.0,Honda
2011,475000,108000,Diesel,Dealer,Manual,First Owner,19.27710843373494,2179.0,140.0,330.0,7.0,Mahindra
2012,370000,120000,Diesel,Individual,Manual,Second Owner,16.265060240963855,2179.0,115.0,277.5,5.0,Mahindra
2014,450000,110000,Diesel,Individual,Manual,First Owner,19.228915662650603,2523.0,63.0,180.0,9.0,Mahindra
2017,520000,28832,Diesel,Dealer,Manual,First Owner,28.19277108433735,1248.0,74.0,190.0,5.0,Maruti
2011,350000,110000,Diesel,Individual,Manual,Second Owner,24.746987951807228,1598.0,103.6,250.0,5.0,Volkswagen
2014,480000,37000,Diesel,Individual,Manual,First Owner,19.228915662650603,2523.0,62.1,195.0,7.0,Mahindra
2012,375000,31711,Petrol,Dealer,Manual,Second Owner,23.783783783783786,1496.0,88.7,132.0,5.0,Toyota
2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,27.084337349397593,1995.0,187.74,400.0,5.0,BMW
2018,700000,6000,Petrol,Individual,Manual,First Owner,25.135135135135137,1197.0,81.83,114.7,5.0,Hyundai
2017,650000,16200,Diesel,Individual,Manual,First Owner,29.27710843373494,1248.0,88.5,200.0,5.0,Maruti
2017,940000,57900,Diesel,Dealer,Manual,First Owner,26.3855421686747,1498.0,98.6,200.0,7.0,Honda
2011,190000,90000,Diesel,Individual,Manual,Second Owner,24.096385542168676,1399.0,68.0,160.0,5.0,Ford
2008,400000,110000,Diesel,Individual,Manual,First Owner,15.301204819277109,2609.0,116.6,277.4509803921569,8.0,Mahindra
2012,220000,70000,Diesel,Individual,Manual,Second Owner,30.65060240963856,936.0,57.6,150.0,5.0,Chevrolet
2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,20.21686746987952,1995.0,190.0,400.0,5.0,BMW
2005,150000,89000,Petrol,Individual,Manual,Second Owner,20.675675675675677,1341.0,83.0,115.0,5.0,Hyundai
2013,290000,50000,Petrol,Individual,Automatic,First Owner,22.905405405405403,1197.0,78.9,111.8,5.0,Hyundai
2015,715000,70000,Diesel,Individual,Manual,First Owner,18.55421686746988,2179.0,120.0,280.0,7.0,Mahindra
2018,1175000,14000,Petrol,Dealer,Manual,First Owner,21.35135135135135,1591.0,121.3,151.0,5.0,Hyundai
2014,400000,123000,Diesel,Individual,Manual,First Owner,22.903614457831328,1461.0,108.45,248.0,5.0,Renault
2008,250000,70000,Petrol,Individual,Manual,Fourth & Above Owner,23.64864864864865,1298.0,85.8,114.0,5.0,Maruti
2017,650000,40000,Petrol,Individual,Manual,First Owner,25.135135135135137,1197.0,81.83,114.7,5.0,Hyundai
2018,740000,38817,Diesel,Dealer,Manual,First Owner,33.0,1248.0,74.0,190.0,5.0,Maruti
